,Tipo,Distrito,Cuartos,Vacantes,Suites,Area,Valor,Mantenimiento,Impuesto
19031,Departamento,San Bartolo,2,0,0,70,2700.0,878.0,
19032,Departamento,Lince,1,0,0,25,350.0,,
19033,Departamento,Comas,3,3,1,340,23000.0,4300.0,2100.0
19034,Departamento,Ate,1,1,1,78,2200.0,1400.0,347.0
19035,Departamento,Comas,2,0,0,75,3600.0,760.0,240.0
19036,Flat,San Borja,1,1,0,55,2100.0,1900.0,125.0
19037,Departamento,El Agustino,2,0,0,75,800.0,,
19038,Departamento,San Borja,3,2,1,97,3800.0,1000.0,192.0
19039,Departamento,Ate,3,3,3,175,8000.0,3800.0,9850.0
19040,Departamento,Rímac,3,1,1,155,7500.0,1700.0,500.0
19041,Departamento,Ate,3,1,1,110,4200.0,1167.0,149.0
19042,Departamento,Santa Anita,3,1,1,78,1450.0,600.0,73.0
19043,Departamento,Pueblo Libre,3,1,1,125,5500.0,858.0,357.0
19044,Departamento,Ate,2,1,1,82,3200.0,1664.0,
19045,Habitación,Rímac,1,0,1,22,2500.0,335.0,
19046,Casa en condominio,Ate,5,2,5,600,19900.0,1891.0,160.0
19047,Departamento,Comas,3,2,1,150,6500.0,2200.0,387.0
19048,Casa en condominio,Ate,6,6,5,850,15000.0,2300.0,2200.0
19049,Habitación,Pachacámac,1,0,0,27,650.0,203.0,20.0
19050,Departamento,San Miguel,2,0,0,69,1900.0,606.0,30.0
19051,Habitación,San Borja,1,0,0,25,2200.0,450.0,120.0
19052,Departamento,San Borja,2,1,1,70,3000.0,800.0,20.0
19053,Departamento,Breña,3,1,0,93,3500.0,780.0,201.0
19054,Departamento,San Miguel,3,2,1,99,1800.0,1100.0,
19055,Flat,Pueblo Libre,1,1,1,62,2600.0,1300.0,300.0
19056,Departamento,Ate,3,1,1,70,2100.0,800.0,
19057,Habitación,Punta Hermosa,1,0,0,30,1400.0,545.0,26.0
19058,Departamento,San Miguel,2,0,0,70,1700.0,490.0,72.0
19059,Departamento,Ate,4,4,4,340,14000.0,4200.0,900.0
19060,Departamento,Jesús María,3,2,1,106,2500.0,780.0,248.0
19061,Departamento,Ate,2,1,1,120,6000.0,3600.0,8000.0
19062,Departamento,Jesús María,3,3,1,213,2700.0,983.0,
19063,Departamento,Comas,2,2,2,140,7000.0,2750.0,690.0
19064,Departamento,La Punta,2,1,0,56,1000.0,517.0,
19065,Departamento,Jesús María,3,1,1,88,1700.0,600.0,164.0
19066,Departamento,Punta Hermosa,2,2,2,78,3000.0,1001.0,
19067,Departamento,Pueblo Libre,2,1,0,45,600.0,,
19068,Departamento,Comas,5,2,1,300,12000.0,2600.0,680.0
19069,Departamento,Ate,2,2,1,65,1500.0,1058.0,170.0
